"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-10","8.72",,"0.08","0.9","7.1","18","22","7","  230","  330","17.0","21.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-11","6.49",,"0.18","3.4","5.9","10","24","5","  280","  290","21.0","28.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-12","10.51",,"0.02","0.5","7.9","9","25","-4","  330","   10","21.0","32.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-13","4.70",,"0.00","0.0","7.1","-1","9","-10","   20","   70","8.9","13.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-14","4.25",,"0.08","2.8","7.1","3","17","-5","  150","   10","8.1","11.0","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-15","4.92",,"0.19","2.9","9.1","17","25","12","  310","  330","18.1","25.9","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-16","4.92",,"0.00","0.0","9.8","6","12","-1","   10","   10","13.0","17.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-17","5.37",,"0.06","0.4","9.1","5","21","-1","   90","  100","8.9","13.0","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-18","5.37",,"0.06","0.6","9.1","24","35","21","  200","  210","15.0","19.0","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-19","17.00",,"0.22","1.3","7.9","35","39","26","  280","  280","29.1","40.9","    1","    1",,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-20","9.40",,"0.05","0.9","9.1","24","26","17","  310","  320","25.1","40.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-21","5.59",,"0.02","0.4","7.9","15","19","11","   70","   80","8.9","15.0","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-22","6.04",,"0.14","2.9","7.9","17","24","14","  100","   90","8.9","13.0","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-23","9.40",,"0.14","2.4","11.0","24","28","13","  290","  300","21.0","30.0","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-24","6.04",,"0.00","0.1","11.0","15","23","6","  240","  250","14.1","16.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-25","15.43",,"0.22","3.7","9.8","16","20","3","  290","  270","25.9","38.0","    1","    1",,,"    1","    1"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-26","8.28",,"0.26","5.6","11.0","5","7","0","  260","  240","19.9","27.1","    1",,,,,"    1"
